City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ushuaia,-68.3,-54.8,276.96,93,100,1.54,AR,2023-04-24
1,hithadhoo,73.0833,-0.6,302.13,75,99,3.95,MV,2023-04-24
2,albany,-73.9662,42.6001,285.14,50,88,2.82,US,2023-04-24
3,clyde river,-68.5914,70.4692,268.28,93,75,7.72,CA,2023-04-24
4,saint-francois,3.9054,46.4154,283.13,83,100,2.06,FR,2023-04-24
5,port-cartier,-66.8654,50.0334,278.27,80,39,4.19,CA,2023-04-24
6,laguna,-121.4238,38.421,300.73,40,0,2.06,US,2023-04-24
7,marsa matruh,27.2453,31.3525,291.26,77,0,3.09,EG,2023-04-24
8,narsaq,-46.05,60.9167,278.27,86,32,2.24,GL,2023-04-24
9,avarua,-159.775,-21.2078,300.18,65,20,7.2,CK,2023-04-24
10,khatanga,102.5,71.9667,262.96,93,7,3.68,RU,2023-04-24
11,los algarrobos,-82.4333,8.5,304.38,55,20,4.63,PA,2023-04-24
12,eureka,-124.1637,40.8021,291.86,69,88,4.47,US,2023-04-24
13,yellowknife,-114.3525,62.456,282.44,46,75,4.63,CA,2023-04-24
14,busselton,115.3333,-33.65,288.32,70,100,9.54,AU,2023-04-24
15,kapaa,-159.319,22.0752,299.14,85,100,5.66,US,2023-04-24
16,saint-philippe,55.7679,-21.3585,298.92,78,40,3.99,RE,2023-04-24
17,tuktoyaktuk,-133.0374,69.4541,255.15,78,100,3.09,CA,2023-04-24
18,hobart,147.3294,-42.8794,286.51,83,75,2.06,AU,2023-04-24
19,sulphur springs,-95.6011,33.1385,294.23,37,100,3.6,US,2023-04-24
20,pevek,170.3133,69.7008,267.63,71,5,1.36,RU,2023-04-24
21,vao,167.4833,-22.6667,297.92,75,100,10.61,NC,2023-04-24
22,new norfolk,147.0587,-42.7826,286.32,87,100,0.45,AU,2023-04-24
23,touros,-35.4608,-5.1989,301.29,79,51,8.66,BR,2023-04-24
24,bethel,-73.414,41.3712,288.17,38,75,3.09,US,2023-04-24
25,mataura,168.8643,-46.1927,284.53,69,95,4.87,NZ,2023-04-24
26,arraial do cabo,-42.0278,-22.9661,297.13,69,40,2.57,BR,2023-04-24
27,vila franca do campo,-25.4333,37.7167,290.38,96,94,3.65,PT,2023-04-24
28,namibe,12.1522,-15.1961,297.09,68,40,1.02,AO,2023-04-24
29,sungaipenuh,101.3833,-2.0833,292.21,98,100,1.19,ID,2023-04-24
30,lata,-8.3327,40.1629,288.66,96,96,1.19,PT,2023-04-24
31,viedma,-62.9967,-40.8135,292.67,36,0,4.78,AR,2023-04-24
32,chokurdakh,147.9167,70.6333,266.38,88,5,3.22,RU,2023-04-24
33,dingle,122.6711,10.9995,297.77,89,9,3.51,PH,2023-04-24
34,tura,90.2201,25.5198,294.24,57,0,1.61,IN,2023-04-24
35,ilulissat,-51.1,69.2167,274.16,93,40,3.6,GL,2023-04-24
36,ponta do sol,-17.1,32.6667,292.43,78,95,0.81,PT,2023-04-24
37,esperance,121.9,-33.8667,286.55,70,38,3.35,AU,2023-04-24
38,kununurra,128.7333,-15.7667,293.14,88,5,0.0,AU,2023-04-24
39,makakilo city,-158.0858,21.3469,301.33,68,0,3.6,US,2023-04-24
40,nishihara,127.7558,26.1842,295.75,81,100,3.09,JP,2023-04-24
41,saint george,-113.5841,37.1041,300.34,20,0,3.58,US,2023-04-24
42,souillac,57.5167,-20.5167,297.36,94,20,1.03,MU,2023-04-24
43,gambela,34.5833,8.25,298.05,75,92,1.82,ET,2023-04-24
44,cape town,18.4232,-33.9258,290.58,93,40,0.51,ZA,2023-04-24
45,punta arenas,-70.9167,-53.15,280.21,100,100,5.66,CL,2023-04-24
46,kemin,75.6892,42.7846,283.84,79,86,2.78,KG,2023-04-24
47,hilo,-155.09,19.7297,302.75,70,40,5.14,US,2023-04-24
48,rikitea,-134.9692,-23.1203,299.29,86,60,6.82,PF,2023-04-24
49,hamilton,-84.5333,39.1834,285.06,42,100,5.14,US,2023-04-24
50,huancayo,-75.2333,-12.0667,289.49,63,26,3.2,PE,2023-04-24
51,thompson,-97.8558,55.7435,278.24,38,20,2.57,CA,2023-04-24
52,mangrol,70.1167,21.1167,299.31,64,8,5.5,IN,2023-04-24
53,dikson,80.5464,73.5069,263.36,92,15,8.04,RU,2023-04-24
54,longyearbyen,15.6401,78.2186,264.06,79,0,3.6,SJ,2023-04-24
55,atuona,-139.0333,-9.8,300.99,72,28,5.02,PF,2023-04-24
56,taoudenni,-3.9836,22.6783,304.82,12,0,4.37,ML,2023-04-24
57,fonte boa,-66.2662,-2.4959,294.93,99,100,0.68,BR,2023-04-24
58,tasiilaq,-37.6368,65.6145,273.24,91,96,2.05,GL,2023-04-24
